distance-to-solar-noon,temperature,wind-speed,sky-cover,humidity,average-wind-speed-(period),average-pressure-(period),power-generated,wind_dir_sin,wind_dir_cos
0.069553806,64,5.8,1,59,10.0,29.75,28515,-0.8660254037844386,0.5000000000000001
0.305774278,64,5.8,1,61,14.0,29.7,17490,-0.8660254037844386,0.5000000000000001
0.541994751,64,5.8,1,73,6.0,29.72,773,-0.8660254037844386,0.5000000000000001
0.778215223,64,5.8,1,87,6.0,29.75,0,-0.8660254037844386,0.5000000000000001
0.878787879,63,10.5,3,84,7.0,29.76,0,-0.34202014332566866,-0.9396926207859084
0.641633729,63,10.5,3,78,7.0,29.75,0,-0.34202014332566866,-0.9396926207859084
0.404479578,63,10.5,4,81,8.0,29.78,65,-0.34202014332566866,-0.9396926207859084
0.167325428,63,10.5,4,73,5.0,29.8,5219,-0.34202014332566866,-0.9396926207859084
0.069828722,63,10.5,1,63,15.0,29.76,10789,-0.34202014332566866,-0.9396926207859084
0.306982872,63,10.5,1,68,20.0,29.74,5208,-0.34202014332566866,-0.9396926207859084
0.544137022,63,10.5,1,78,7.0,29.74,60,-0.34202014332566866,-0.9396926207859084
0.781291173,63,10.5,3,81,13.0,29.76,0,-0.34202014332566866,-0.9396926207859084
0.880952381,64,9.7,3,81,7.0,29.76,0,-1.0,-1.8369701987210297e-16
0.642857143,64,9.7,4,81,7.0,29.77,0,-1.0,-1.8369701987210297e-16
0.404761905,64,9.7,4,78,7.0,29.8,1346,-1.0,-1.8369701987210297e-16
0.166666667,64,9.7,3,68,3.0,29.84,18380,-1.0,-1.8369701987210297e-16
0.071428571,64,9.7,1,59,16.0,29.81,28891,-1.0,-1.8369701987210297e-16
0.30952381,64,9.7,1,63,18.0,29.8,14687,-1.0,-1.8369701987210297e-16
0.547619048,64,9.7,1,81,15.0,29.82,345,-1.0,-1.8369701987210297e-16
0.785714286,64,9.7,1,84,8.0,29.85,0,-1.0,-1.8369701987210297e-16
0.883289125,61,11.4,2,87,10.0,29.85,0,-0.9848077530122081,0.17364817766692997
0.644562334,61,11.4,4,87,3.0,29.85,0,-0.9848077530122081,0.17364817766692997
0.405835544,61,11.4,4,84,3.0,29.87,292,-0.9848077530122081,0.17364817766692997
0.167108753,61,11.4,2,73,3.0,29.87,10767,-0.9848077530122081,0.17364817766692997
0.071618037,61,11.4,1,68,21.0,29.84,27641,-0.9848077530122081,0.17364817766692997
0.310344828,61,11.4,1,75,23.0,29.81,13835,-0.9848077530122081,0.17364817766692997
0.549071618,61,11.4,1,87,18.0,29.83,145,-0.9848077530122081,0.17364817766692997
0.787798408,61,11.4,1,87,10.0,29.86,0,-0.9848077530122081,0.17364817766692997
0.886817577,60,11.7,3,90,13.0,29.87,0,-1.0,-1.8369701987210297e-16
0.64713715,60,11.7,3,83,8.0,29.87,0,-1.0,-1.8369701987210297e-16
0.407456724,60,11.7,4,86,5.0,29.9,229,-1.0,-1.8369701987210297e-16
0.167776298,60,11.7,4,81,7.0,29.93,4349,-1.0,-1.8369701987210297e-16
0.071904128,60,11.7,1,68,16.0,29.88,19126,-1.0,-1.8369701987210297e-16
0.311584554,60,11.7,1,73,21.0,29.85,14692,-1.0,-1.8369701987210297e-16
0.55126498,60,11.7,3,80,13.0,29.88,436,-1.0,-1.8369701987210297e-16
0.790945406,60,11.7,3,86,9.0,29.9,0,-1.0,-1.8369701987210297e-16
0.886666667,61,9.0,3,80,8.0,29.9,0,-0.9848077530122081,0.17364817766692997
0.646666667,61,9.0,4,80,6.0,29.87,0,-0.9848077530122081,0.17364817766692997
0.406666667,61,9.0,4,83,5.0,29.9,408,-0.9848077530122081,0.17364817766692997
0.166666667,61,9.0,4,72,3.0,29.93,11376,-0.9848077530122081,0.17364817766692997
0.073333333,61,9.0,2,61,16.0,29.89,28611,-0.9848077530122081,0.17364817766692997
0.313333333,61,9.0,2,65,17.0,29.86,14587,-0.9848077530122081,0.17364817766692997
0.553333333,61,9.0,1,81,14.0,29.89,239,-0.9848077530122081,0.17364817766692997
0.793333333,61,9.0,1,83,7.0,29.93,0,-0.9848077530122081,0.17364817766692997
0.890227577,62,10.1,4,83,5.0,29.94,0,-0.9848077530122081,0.17364817766692997
0.649263722,62,10.1,4,87,3.0,29.94,0,-0.9848077530122081,0.17364817766692997
0.408299866,62,10.1,4,84,5.0,29.97,250,-0.9848077530122081,0.17364817766692997
0.167336011,62,10.1,3,73,7.0,30.0,15149,-0.9848077530122081,0.17364817766692997
0.073627845,62,10.1,1,63,15.0,29.96,28581,-0.9848077530122081,0.17364817766692997
0.3145917,62,10.1,1,68,21.0,29.94,13787,-0.9848077530122081,0.17364817766692997
0.555555556,62,10.1,1,78,18.0,29.97,218,-0.9848077530122081,0.17364817766692997
0.796519411,62,10.1,1,83,13.0,29.99,0,-0.9848077530122081,0.17364817766692997
0.89261745,60,12.6,3,86,9.0,29.99,0,-1.0,-1.8369701987210297e-16
0.651006711,60,12.6,4,87,7.0,29.97,0,-1.0,-1.8369701987210297e-16
0.409395973,60,12.6,4,90,7.0,30.01,413,-1.0,-1.8369701987210297e-16
0.167785235,60,12.6,3,78,5.0,30.01,17412,-1.0,-1.8369701987210297e-16
0.073825503,60,12.6,1,63,16.0,29.95,28239,-1.0,-1.8369701987210297e-16
0.315436242,60,12.6,1,70,22.0,29.92,13397,-1.0,-1.8369701987210297e-16
0.55704698,60,12.6,1,83,18.0,29.94,193,-1.0,-1.8369701987210297e-16
0.798657718,60,12.6,1,90,13.0,29.96,0,-1.0,-1.8369701987210297e-16
0.894878706,59,12.7,2,90,11.0,29.97,0,-1.0,-1.8369701987210297e-16
0.652291105,59,12.7,3,83,9.0,29.96,0,-1.0,-1.8369701987210297e-16
0.409703504,59,12.7,4,83,9.0,29.97,685,-1.0,-1.8369701987210297e-16
0.167115903,59,12.7,3,72,7.0,29.98,16170,-1.0,-1.8369701987210297e-16
0.075471698,59,12.7,1,63,21.0,29.94,28148,-1.0,-1.8369701987210297e-16
0.318059299,59,12.7,2,67,20.0,29.92,13455,-1.0,-1.8369701987210297e-16
0.5606469,59,12.7,1,80,14.0,29.95,198,-1.0,-1.8369701987210297e-16
0.803234501,59,12.7,2,78,11.0,29.99,0,-1.0,-1.8369701987210297e-16
0.897297297,62,9.6,4,75,10.0,30.0,0,-0.7660444431189779,-0.6427876096865395
0.654054054,62,9.6,4,72,7.0,29.99,0,-0.7660444431189779,-0.6427876096865395
0.410810811,62,9.6,4,70,3.0,30.03,332,-0.7660444431189779,-0.6427876096865395
0.167567568,62,9.6,4,63,10.0,30.07,5866,-0.7660444431189779,-0.6427876096865395
0.075675676,62,9.6,2,52,10.0,30.04,22094,-0.7660444431189779,-0.6427876096865395
0.318918919,62,9.6,0,54,17.0,30.01,13893,-0.7660444431189779,-0.6427876096865395
0.562162162,62,9.6,0,70,9.0,30.0,154,-0.7660444431189779,-0.6427876096865395
0.805405405,62,9.6,0,72,6.0,30.01,0,-0.7660444431189779,-0.6427876096865395
0.900949796,60,7.9,1,78,6.0,30.01,0,-0.9396926207859084,-0.34202014332566855
0.656716418,60,7.9,1,86,0.0,29.99,0,-0.9396926207859084,-0.34202014332566855
0.412483039,60,7.9,1,83,0.0,30.02,4342,-0.9396926207859084,-0.34202014332566855
0.168249661,60,7.9,1,56,10.0,30.05,24175,-0.9396926207859084,-0.34202014332566855
0.075983718,60,7.9,0,49,15.0,30.02,29378,-0.9396926207859084,-0.34202014332566855
0.320217096,60,7.9,0,51,15.0,29.98,13686,-0.9396926207859084,-0.34202014332566855
0.564450475,60,7.9,1,65,8.0,29.96,112,-0.9396926207859084,-0.34202014332566855
0.808683853,60,7.9,0,67,6.0,29.98,0,-0.9396926207859084,-0.34202014332566855
0.902040816,63,7.3,1,78,3.0,29.99,0,-0.34202014332566866,-0.9396926207859084
0.657142857,63,7.3,1,80,5.0,29.98,0,-0.34202014332566866,-0.9396926207859084
0.412244898,63,7.3,1,80,3.0,29.99,4232,-0.34202014332566866,-0.9396926207859084
0.167346939,63,7.3,1,63,9.0,30.0,22783,-0.34202014332566866,-0.9396926207859084
0.07755102,63,7.3,3,61,9.0,29.98,24479,-0.34202014332566866,-0.9396926207859084
0.32244898,63,7.3,4,63,10.0,29.97,1628,-0.34202014332566866,-0.9396926207859084
0.567346939,63,7.3,4,81,11.0,29.98,0,-0.34202014332566866,-0.9396926207859084
0.812244898,63,7.3,3,81,6.0,29.99,0,-0.34202014332566866,-0.9396926207859084
0.904502046,65,10.3,4,87,8.0,30.01,0,-1.0,-1.8369701987210297e-16
